City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
busselton,-33.65,115.33,57.99,91,84,17.29,AU,1605312545
cayenne,4.93,-52.33,80.6,88,100,2.24,GF,1605312371
vaini,-21.2,-175.2,82.4,78,40,12.75,TO,1605312547
bronnoysund,65.46,12.2,48.0,67,7,24.16,NO,1605312548
sanwer,22.98,75.83,65.44,65,2,3.76,IN,1605312548
rikitea,-23.12,-134.97,75.78,78,46,11.3,PF,1605312548
ambilobe,-13.2,49.05,75.85,86,82,0.25,MG,1605312549
manhush,47.06,37.31,38.84,73,30,11.01,UA,1605312549
hobart,-42.88,147.33,64.99,45,20,10.29,AU,1605312524
pointe-noire,-4.78,11.86,75.87,86,99,5.32,CG,1605312549
kapaa,22.08,-159.32,80.6,83,40,13.87,US,1605312550
yellowknife,62.46,-114.35,6.8,84,75,11.41,CA,1605312550
iqaluit,63.75,-68.51,17.6,61,90,3.36,CA,1605312551
atuona,-9.8,-139.03,77.65,76,76,15.7,PF,1605312551
plettenberg bay,-34.05,23.37,64.69,51,13,7.61,ZA,1605312536
jamestown,42.1,-79.24,43.0,86,90,9.17,US,1605312552
negombo,7.21,79.84,75.2,100,72,5.82,LK,1605312552
cape town,-33.93,18.42,60.01,82,20,3.36,ZA,1605312401
gamba,-2.65,10.0,74.89,93,99,3.74,GA,1605312553
butaritari,3.07,172.79,81.61,68,78,10.22,KI,1605312553
bluff,-46.6,168.33,66.0,56,98,10.0,NZ,1605312553
barrow,71.29,-156.79,17.6,85,90,14.99,US,1605312554
port alfred,-33.59,26.89,67.98,74,0,17.83,ZA,1605312554
portland,45.52,-122.68,48.2,70,75,18.34,US,1605312039
albany,42.6,-73.97,42.01,84,52,3.29,US,1605312409
kitui,-1.37,38.01,64.6,90,4,2.48,KE,1605312555
tuktoyaktuk,69.45,-133.04,-4.0,83,75,14.99,CA,1605312556
tuatapere,-46.13,167.68,66.0,56,98,10.0,NZ,1605312556
majene,-3.54,118.97,83.03,74,59,4.14,ID,1605312556
hithadhoo,-0.6,73.08,81.43,82,96,17.02,MV,1605312557
mar del plata,-38.0,-57.56,66.2,88,0,9.17,AR,1605312293
punta arenas,-53.15,-70.92,44.6,70,40,25.28,CL,1605312558
kutum,14.2,24.67,61.74,30,28,10.92,SD,1605312558
ushuaia,-54.8,-68.3,48.2,61,75,27.51,AR,1605312468
brigantine,39.41,-74.36,51.01,93,1,5.82,US,1605312559
avera,33.19,-82.53,64.4,93,1,5.7,US,1605312559
araouane,18.9,-3.53,76.96,18,0,6.11,ML,1605312560
osmena,10.52,119.93,82.85,79,51,7.27,PH,1605312560
bengkulu,-3.8,102.27,77.09,84,87,3.85,ID,1605312560
the valley,18.22,-63.06,80.6,83,40,10.29,AI,1605312558
